Patrick Mahomes,13,336,511,4160,33,11
Justin Herbert,13,379,561,3706,21,7
Joe Burrow,13,322,473,3685,27,9
Geno Smith,14,337,472,3671,26,8
Tom Brady,13,381,579,3585,17,5
Josh Allen,13,300,470,3553,26,11
Kirk Cousins,13,321,490,3358,20,9
Jared Goff,13,290,444,3352,22,7
Trevor Lawrence,13,303,458,3202,20,6
Jalen Hurts,13,264,388,3157,22,3
Derek Carr,13,269,434,3117,20,10
Tua Tagovailoa,11,226,345,3004,22,5
Matt Ryan,11,290,428,2875,13,13
Aaron Rodgers,13,272,423,2864,22,9
Russell Wilson,12,238,394,2805,11,6
Jacoby Brissett,13,236,369,2608,12,6
Daniel Jones,13,247,374,2534,12,4
Jimmy Garoppolo,11,207,308,2437,16,4
Ryan Tannehill,11,197,303,2371,13,5
Kyler Murray,11,259,390,2368,14,7
Davis Mills,11,219,349,2319,11,12
Andy Dalton,10,200,299,2252,15,7
Lamar Jackson,12,203,326,2242,17,7
Marcus Mariota,13,184,300,2219,15,9
Mac Jones,10,208,305,2198,7,8
Matthew Stafford,9,206,303,2087,10,8
Justin Fields,12,156,253,1896,13,10
Dak Prescott,8,168,251,1847,14,9
Kenny Pickett,10,191,294,1797,4,8
Baker Mayfield,8,141,241,1543,7,6
Carson Wentz,6,144,232,1489,10,6
Taylor Heinicke,7,131,212,1444,9,5
Zach Wilson,7,105,189,1279,4,5
Mitch Trubisky,6,100,158,1073,4,5
Cooper Rush,8,94,161,1051,5,3
Mike White,3,80,129,952,3,2
Joe Flacco,4,92,158,900,5,3
Jameis Winston,3,73,115,858,4,5
Bailey Zappe,4,65,92,781,5,3
PJ Walker,6,63,106,731,3,3
Colt McCoy,3,77,111,702,1,2
Brock Purdy,6,62,93,678,6,2
Teddy Bridgewater,4,37,60,522,3,3
Kyle Allen,2,46,78,416,2,4
Deshaun Watson,2,38,64,407,1,2
John Wolford,3,38,62,390,1,3
Sam Ehlinger,2,32,52,304,0,1
Sam Darnold,2,25,43,284,2,0
Skylar Thompson,5,28,53,278,0,2
Tyler Huntley,3,35,44,275,0,1
Brett Rypien,2,28,54,241,1,2
Trey Lance,2,15,31,194,0,1
Jordan Love,3,12,18,186,1,0
Trevor Siemian,2,15,26,184,1,1
Bryce Perkins,4,19,34,161,1,2
Malik Willis,6,14,34,157,0,1
Jarrett Stidham,3,8,13,72,0,0
Trace McSorley,3,8,14,71,0,1
Jacob Eason,1,3,5,59,0,1
Tyrod Taylor,2,6,8,58,1,1
Nick Mullens,2,6,8,51,0,0
Jeff Driskel,3,4,6,38,1,0
Brian Hoyer,1,5,6,37,0,0
Gardner Minshew,3,2,4,34,0,0
Brandon Allen,1,3,3,22,0,0
Anthony Brown,1,3,5,16,0,0
Josh Johnson,1,1,2,10,0,0
Case Keenum,2,2,7,8,0,0
C.J. Beathard,2,2,3,6,0,0
Nick Foles,1,0,0,0,0,0
Chad Henne,2,0,2,0,0,0
Nate Sudfeld,1,0,0,0,0,0
Chase Daniel,2,0,2,0,0,0
