Aaron Jones,13,164,847,2,58,48,328,4
AJ Dillon,13,143,624,3,33,23,159,0
Alexander Mattison,13,50,173,3,16,13,78,1
Alvin Kamara,11,143,550,1,68,51,433,2
Ameer Abdullah,13,4,20,0,26,20,160,1
Anthony McFarland Jr.,1,6,30,0,2,2,11,0
Antonio Gibson,13,139,515,3,51,42,326,2
Antonio Williams,2,0,0,0,0,0,0,0
Austin Ekeler,13,153,634,8,113,93,623,5
Avery Williams,13,14,83,1,9,8,35,0
Benny Snell Jr.,13,20,90,1,2,2,17,0
Boston Scott,11,43,157,2,5,5,15,0
Brandon Bolden,12,8,34,0,9,9,57,1
Breece Hall,7,80,463,4,32,19,218,1
Brian Robinson Jr.,9,147,563,2,9,8,42,1
Brittain Brown,3,0,0,0,0,0,0,0
Caleb Huntley,11,75,364,1,2,2,3,0
Cam Akers,11,113,376,4,8,4,19,0
Chase Edmonds,10,46,135,2,19,11,96,1
Chris Evans,11,0,0,0,4,3,38,1
Christian McCaffrey,14,200,927,6,93,74,623,4
Chuba Hubbard,11,55,250,2,10,8,61,0
Clyde Edwards-Helaire,10,71,302,3,23,17,151,3
Cordarrelle Patterson,9,108,566,5,16,11,65,0
Corey Clement,5,0,0,0,2,2,29,0
Craig Reynolds,8,23,102,0,10,9,116,0
D'Andre Swift,10,70,375,4,45,31,253,2
D'Ernest Johnson,11,4,17,0,3,3,7,0
D'Onta Foreman,13,147,637,4,9,5,26,0
D'Vonte Price,1,0,0,0,0,0,0,0
Dalvin Cook,13,213,950,8,44,29,170,1
Dameon Pierce,13,220,939,4,39,30,165,1
Damien Harris,9,84,383,3,16,13,75,0
Damien Williams,1,2,2,0,0,0,0,0
Dare Ogunbowale,13,8,27,1,17,13,95,0
Darrel Williams,6,21,102,1,8,4,9,0
Darrell Henderson Jr.,10,70,283,3,22,17,102,0
Darrynton Evans,4,12,55,0,1,1,33,0
David Montgomery,12,160,641,4,30,25,244,0
DeeJay Dallas,12,24,104,0,8,7,42,0
Deon Jackson,12,44,136,1,22,20,124,0
Derrick Henry,13,275,1199,11,34,26,320,0
Devin Singletary,13,145,642,4,45,32,230,1
Devine Ozigbo,3,1,2,0,1,1,3,0
Dontrell Hilliard,12,22,145,0,26,21,177,4
Duke Johnson,1,2,4,0,0,0,0,0
Dwayne Washington,12,11,38,0,1,1,7,0
Elijah Mitchell,4,40,224,0,4,3,7,0
Eno Benjamin,12,73,300,2,33,24,184,0
Ezekiel Elliott,11,172,716,9,18,14,73,0
Gary Brightwell,13,14,73,1,5,4,36,0
Giovani Bernard,4,0,0,0,0,0,0,0
Godwin Igwebuike,2,0,0,0,0,0,0,0
Gus Edwards,5,62,261,3,2,0,0,0
Hassan Haskins,11,10,42,0,3,3,7,0
Isaiah Spiller,6,18,41,0,3,3,13,0
Isiah Pacheco,13,124,591,3,9,9,69,0
J.D. McKissic,8,22,95,0,40,27,173,0
J.J. Taylor,1,10,9,0,1,1,8,0
J.K. Dobbins,5,50,243,2,6,6,39,1
Jake Funk,5,0,0,0,0,0,0,0
Jamaal Williams,13,204,806,14,13,9,57,0
James Conner,10,136,561,5,42,33,200,1
James Cook,13,64,329,1,26,16,160,0
James Robinson,11,110,425,3,14,11,51,2
JaMycal Hasty,13,29,133,1,15,12,90,1
Jaret Patterson,1,0,0,0,0,0,0,0
Javonte Williams,4,47,204,0,22,16,76,0
Jaylen Warren,12,42,206,0,23,20,167,0
Jeff Wilson Jr.,13,136,706,4,26,16,149,1
Jerick McKinnon,13,53,222,0,51,38,359,4
Jerome Ford,9,3,3,0,0,0,0,0
Joe Mixon,11,172,701,6,54,43,324,2
Jonathan Taylor,10,192,861,4,39,27,130,0
Jonathan Ward,5,0,0,0,0,0,0,0
Jonathan Williams,9,11,77,0,0,0,0,0
Jordan Howard,2,1,1,0,0,0,0,0
Jordan Mason,13,33,217,0,0,0,0,0
Jordan Wilkins,2,6,31,0,5,4,15,0
Josh Jacobs,13,269,1402,11,53,44,346,0
Joshua Kelley,9,36,167,1,16,10,78,0
Julius Chestnut,2,5,13,0,2,2,8,0
Justice Hill,11,41,225,0,10,10,39,0
Justin Jackson,13,34,153,1,15,10,75,1
Kareem Hunt,13,106,423,3,35,27,179,1
Ke'Shawn Vaughn,11,8,21,0,2,1,11,0
Keaontay Ingram,8,22,53,1,2,2,23,0
Kene Nwangwu,13,4,1,0,1,1,5,0
Kenneth Gainwell,13,41,183,4,20,14,95,0
Kenneth Walker III,12,150,697,9,31,23,148,0
Kenyan Drake,11,93,422,3,21,15,70,1
Kevin Harris,3,12,30,1,0,0,0,0
Khalil Herbert,10,108,644,4,7,6,62,1
Kylin Hill,2,1,7,0,0,0,0,0
Kyren Williams,6,25,108,0,11,8,73,0
Larry Rountree III,1,0,0,0,0,0,0,0
Latavius Murray,9,112,437,4,24,20,83,0
Leonard Fournette,12,149,524,3,64,55,380,3
Malcolm Brown,7,15,39,0,4,4,35,0
Malik Davis,8,23,103,1,5,4,40,0
Mark Ingram II,10,62,235,1,18,16,68,0
Marlon Mack,5,7,25,0,5,4,73,1
Matt Breida,13,37,118,1,15,11,92,0
Melvin Gordon III,10,90,318,2,32,25,223,0
Michael Carter,12,104,375,3,42,31,224,0
Mike Boone,9,24,102,0,15,9,96,0
Mike Davis,8,8,18,0,2,2,4,0
Miles Sanders,13,204,1068,11,23,18,85,0
Myles Gaskin,3,10,26,0,6,4,28,0
Najee Harris,13,187,704,5,40,32,165,2
Nick Chubb,13,231,1153,12,27,20,172,0
Nyheim Hines,13,23,31,1,34,28,222,0
Patrick Taylor,10,1,6,0,0,0,0,0
Phillip Lindsay,3,15,49,0,8,6,19,0
Pierre Strong Jr.,11,6,75,1,2,2,20,0
Qadree Ollison,2,0,0,0,0,0,0,0
Rachaad White,13,96,370,1,47,40,242,1
Raheem Blackshear,9,19,73,2,10,8,82,0
Raheem Mostert,12,136,610,3,27,18,126,1
Rashaad Penny,5,57,346,2,5,4,16,0
Rex Burkhead,12,26,80,0,38,29,169,1
Rhamondre Stevenson,13,164,742,4,71,58,385,1
Rico Dowdle,5,0,0,0,0,0,0,0
Ronald Jones,2,4,12,0,1,1,22,0
Ronnie Rivers,5,9,21,0,5,5,29,0
Salvon Ahmed,8,5,14,0,0,0,0,0
Samaje Perine,13,78,349,2,45,33,264,4
Saquon Barkley,13,251,1083,8,54,42,261,0
Snoop Conner,4,4,17,0,0,0,0,0
Sony Michel,10,36,106,0,13,9,53,0
Spencer Brown,2,9,43,0,4,2,10,0
Taiwan Jones,13,0,0,0,0,0,0,0
Tevin Coleman,5,12,26,1,3,3,44,1
Tony Jones Jr.,6,10,24,0,8,5,30,0
Tony Pollard,13,158,894,9,41,29,279,3
Travis Etienne Jr.,13,163,814,4,34,25,214,0
Travis Homer,9,19,74,0,18,16,157,1
Trayveon Williams,5,6,30,0,3,2,30,0
Trenton Cannon,2,0,0,0,0,0,0,0
Trestan Ebner,13,24,54,0,5,2,8,0
Trey Sermon,2,2,19,0,0,0,0,0
Ty Chandler,2,0,0,0,0,0,0,0
Ty Johnson,13,15,95,1,16,9,64,0
Tyler Allgeier,12,131,604,1,10,10,87,1
Tyrion Davis-Price,3,16,37,0,2,0,0,0
Zack Moss,9,24,122,0,8,7,27,0
Zamir White,12,15,62,0,0,0,0,0
Zonovan Knight,3,46,230,1,10,10,68,0
